Date,Adj Close,Close,High,Low,Open,Volume
2020-03-12,178.7597046,185.1000061,190.4869995,183.9299927,186.5,30247100
2020-03-13,187.3548431,194.0,195.9900055,187.8099976,194.8999939,23650500
2020-03-16,172.7237854,178.8500061,188.0,174.5,176.1499939,26628500
2020-03-17,178.4796295,184.8099976,189.3899994,179.6900024,181.2599945,19276500
2020-03-18,173.8343811,180.0,182.4100037,170.0,176.0,22054200
2020-03-19,174.6842499,180.8800049,187.25,177.3899994,179.2599945,20905700
2020-03-20,175.089859,181.3000031,188.3000031,180.0,187.7400055,21006100
2020-03-23,170.2997589,176.3399963,178.5,169.9499969,175.2700043,22554700
2020-03-24,179.3874359,185.75,188.8000031,181.1799927,183.0899963,20801500
2020-03-25,182.101181,188.5599976,195.1900024,184.5149994,185.8200073,19605200
2020-03-26,188.6296387,195.3200073,196.3200073,187.6000061,188.6399994,15416800
2020-03-27,182.1301575,188.5899963,192.7400055,188.0,189.9700012,13376400
2020-03-30,184.7183533,191.2700043,191.4799957,187.0099945,187.4799957,12254400
2020-03-31,187.8184052,194.4799957,196.7899933,190.6000061,192.0,19084800
2020-04-01,181.1354218,187.5599976,192.8699951,185.0399933,189.5,17948600
2020-04-02,182.4295349,188.8999939,191.3000031,185.6920013,186.0800018,13412100
2020-04-03,180.7008514,187.1100006,190.5500031,185.4100037,190.1199951,9483100
2020-04-06,189.7209167,196.4499969,196.8800049,192.6999969,194.7400055,13248700
2020-04-07,191.2178345,198.0,201.4499969,197.0500031,200.0500031,14934500
2020-04-08,189.2670135,195.9799957,198.8600006,193.8840027,198.3399963,13608000
2020-04-09,189.6436615,196.3699951,200.3500061,193.3999939,198.6499939,17821300
2020-04-13,192.6085052,199.4400024,200.3249969,195.5299988,197.3999939,16117900
2020-04-14,197.7655945,204.7799988,207.9700012,204.25,204.9499969,16757100
2020-04-15,201.0394745,208.1699982,209.1499939,201.3099976,204.7700043,10768100
2020-04-16,205.3756714,212.6600037,213.25,209.1199951,210.5299988,16353800
2020-04-17,202.3239136,209.5,214.9799957,208.8509979,214.9799957,13558500
2020-04-20,204.8638306,212.1300049,216.1000061,209.3600006,209.8699951,19295400
2020-04-21,200.2378998,207.3399963,212.1300049,205.0299988,209.8999939,14107600
2020-04-22,202.768158,209.9600067,212.0,209.2100067,212.0,13471100
2020-04-23,198.2098389,205.2400055,210.5599976,203.4600067,210.2400055,20424000
2020-04-24,197.3599701,204.3600006,206.5,202.8200073,205.8899994,14673900
2020-04-27,196.7129364,203.6900024,207.7799988,202.0299988,207.5500031,17286800
2020-04-28,194.2599335,201.1499939,205.1900024,199.4069977,204.8099976,17203800
2020-04-29,199.6198273,206.6999969,207.0800018,202.5099945,202.9299927,19117800
2020-04-30,195.7278595,202.6699982,206.6999969,199.2899933,206.25,20107400
2020-05-01,187.8184052,194.4799957,197.3800049,192.8600006,195.75,22276200
2020-05-04,184.6024628,191.1499939,195.0,189.5299988,194.7599945,25709400
2020-05-05,188.3399048,195.0200043,198.2700043,194.1999969,196.3800049,22957200
2020-05-06,188.4847717,195.1699982,198.9100037,194.9299927,197.6699982,18598900
2020-05-07,189.7595673,196.4900055,198.0899963,194.7799988,198.0,16164600
2020-05-08,194.2985687,201.1900024,203.0200043,198.6799927,199.8000031,23819700
2020-05-11,198.3643494,205.3999939,206.6399994,202.3800049,202.7799988,17920700
2020-05-12,193.4487,200.3099976,208.0500031,200.0200043,206.9499969,17826800
2020-05-13,192.6278229,199.4600067,204.6799927,197.9799957,203.6199951,22429700
